@relation PresenceOfPecans
@attribute Site numeric
@attribute LATITUDE numeric
@attribute ELEV numeric
@attribute COKLM numeric
@attribute MWM numeric
@attribute MCM numeric
@attribute RHIGH numeric
@attribute RLOW numeric
@attribute RRCORR numeric
@attribute CMAT numeric
@attribute CRR numeric
@attribute RRCORR2 numeric
@attribute SEASON {1,2,3,4}
@attribute RRCORR3 numeric
@attribute ET numeric
@attribute BT numeric
@attribute PET numeric
@attribute AE numeric
@attribute RUNOFF numeric
@attribute BIO5 numeric
@attribute BAR5 numeric
@attribute NAGP numeric
@attribute TEMP numeric
@attribute WATD numeric
@attribute MI numeric
@attribute HIRX numeric
@attribute SNOWAC numeric
@attribute RRANGE numeric
@attribute TRANGE numeric
@attribute REVEN numeric
@attribute MRAIN numeric
@attribute MTEMP numeric
@attribute SDTEMP numeric
@attribute SDRAIN numeric
@attribute CVTEMP numeric
@attribute CVRAIN numeric
@attribute WSTORAGE numeric
@attribute PTOAE numeric
@attribute PTOWATD numeric
@attribute PTORUN numeric
@attribute PTOWATR numeric
@attribute PGROW numeric
@attribute GROWC numeric
@attribute WLTGRC numeric
@attribute WATDGRC numeric
@attribute RUNGRC numeric
@attribute WATRGRC numeric
@attribute WRET numeric
@attribute PERWLTG numeric
@attribute PERWDEF numeric
@attribute PERWRET numeric
@attribute DEFPER numeric
@attribute AVWAT numeric
@attribute CLIM numeric
@attribute CLASS {D, W}
@attribute MEDSTAB numeric
@attribute SUCSTAB numeric
@attribute SUCSTAB2 numeric
@attribute WACCESS numeric
@attribute LLAT numeric
@attribute LBIO5 numeric
@attribute LNAGP numeric
@attribute LMEANELV numeric
@attribute LET numeric
@attribute LPET numeric
@attribute LAE numeric
@attribute LBT numeric
@attribute LTRANGE numeric
@attribute LCMAT numeric
@attribute LMCM numeric
@attribute LMWM numeric
@attribute LMTEMP numeric
@attribute LCVTEMP numeric
@attribute LCRR numeric
@attribute LREVEN numeric
@attribute LRRCORR2 numeric
@attribute LRRCORR3 numeric
@attribute LRRANGE numeric
@attribute LDEFPER numeric
@attribute LPERWDEF numeric
@attribute LPTOAE numeric
@attribute LRUNOFF numeric
@attribute LRHIGH numeric
@attribute LRLOW numeric
@attribute LCOKLM numeric
@attribute LPERWLTG numeric
@attribute LSNOWAC numeric
@attribute LWACCESS numeric
@attribute LPTORUN numeric
@attribute LRUNGRC numeric
@attribute LWRET numeric
@attribute LWLTGRC numeric
@attribute LBAR5 numeric
@attribute LMRAIN numeric
@attribute LWATD numeric
@attribute LCVRAIN numeric
@attribute LPTOWATD numeric
@attribute LPTOWATR numeric
@attribute LWATRGRC numeric
@attribute LHIRX numeric
@attribute LSSTAB2 numeric
@attribute EXPREY numeric
@attribute LEXPREY numeric
@attribute Pecans {0,1}
@data
587,23.98,2004,315,31.22,16.22,350.01,5.08,3,23.7917,1319.022,7.5,3,4.5,17.3816,23.7917,1312.6975,956.1243,642.7289,13425.8756,6.9229,1939.3394,52.782,356.5732,0.4818,0.9952,0,344.93,15,3.1843,1.4514,80.3201,5.1524,128.765,21.6565,117.1459,182.1088,1.3729,3.6814,2.0424,16.3005,13,12,3,5,7,8,80.5313,0.25,0.4167,0.6667,41.6667,6,5,W,0.5021,8.8297,8.8297,0.77,1.38,4.1279,3.2877,3.3019,1.2401,3.1182,2.9805,1.3764,1.1761,1.7693,1.821,1.4944,1.9259,3.4802,3.1203,0.503,-3,1.0212,2.5377,1.6199,-0.3699,0.1408,2.808,2.5441,0.7059,2.4983,-0.585,-2,-0.1079,0.3123,0.8457,1.906,0.4786,0.8403,0.1618,2.5522,2.0687,0.5672,1.2125,0.9036,-0.0021,0.9464,614.4817,2.7885,0
588,9.25,2986,98,31.89,25.56,177.04,18.54,5,28.9867,850.62,9.5,4,4.5,22.2205,28.9867,1867.6888,850.62,46.1253,3916.2033,2.4519,1597.2065,49.7934,1017.0688,-54.456,2.1957,0,158.5,6.33,2.4976,10.4722,91.7675,2.246,52.0754,7.7482,73.4646,196.84,2.1957,1.8363,40.4916,207.4887,6,12,5,10,2,3,9.0014,0.4167,0.8333,0.25,83.3333,3,6,D,2.2433,23.4923,23.4923,0.6033,0.9666,3.5929,3.2034,3.4751,1.3468,3.2713,2.9297,1.4622,0.8014,1.8061,1.8783,1.5037,1.9812,3.4782,2.9297,0.3975,-3,1.0212,2.2,1.9209,-0.074,0.3435,1.664,2.2481,1.2681,1.9913,-0.3699,-2,-0.2123,1.6075,0.3032,0.9548,0.6998,0.3895,1.02,3.0074,1.8661,0.2663,2.317,0.4786,0.3416,1.3711,2886.2599,3.4603,0
589,26.9,793,402,34.33,15.78,89.92,1.02,1,26.537,218.44,5.5,2,4.5,17.3305,26.537,1542.8793,232.325,0,367.4842,1.9839,185.2334,47.8887,1310.5543,-85.8421,7.0632,0,88.9,18.55,4.9398,1.1343,76.6167,6.47,32.8134,24.381,180.2602,68.95,6.641,1.1773,1542.8793,2667.0342,2,12,9,12,0,1,0.5785,0.75,1,0.0833,100,1,5,D,0.188,100.3842,37.2149,0.27,1.4299,2.5652,2.2677,2.8993,1.2388,3.1883,2.3661,1.4239,1.2683,1.7891,1.8181,1.5357,1.9064,3.4806,2.3393,0.6937,-3,1.0212,1.9489,2,0.0043,0.8229,-2,1.9539,0.0086,2.6042,-0.1192,-2,-0.5528,3.1883,-2,-0.2303,0.9547,0.2975,0.0547,3.1175,2.2559,0.0746,3.426,0.0043,0.849,1.5708,122.7085,2.0889,0
590,26.51,3149,555,27.06,17.53,571.5,2.81,-2,23.9783,2666.057,2.5,1,4.5,17.7855,23.9783,1340.0919,1291.8627,1580.1177,50777.1386,15.8873,3196.0911,60.6642,48.2292,98.9458,0.5026,0,568.69,9.53,2.5723,0.4917,86.7749,3.5912,222.0055,14.9767,99.9253,196.84,1.0373,27.7859,0.8481,11.3842,19,12,0,3,9,10,117.7148,0.001,0.25,0.8333,25,7,5,W,0.1341,0.021,0.021,1.019,1.4236,4.7057,3.5046,3.4982,1.2501,3.1271,3.1112,1.3798,0.9791,1.7707,1.8295,1.4323,1.958,3.4793,3.4259,0.4103,-3,1.0212,2.7549,1.3981,-0.585,0.0201,3.1987,2.757,0.4487,2.7443,-1.9586,-2,0.0124,-0.0665,0.9547,2.0709,-2,1.2011,-0.3083,1.6834,1.9997,1.444,1.0567,1.0004,-0.2988,-1.5086,399.9913,2.6021,0
591,24.93,268,290,33.39,17.67,247.9,1.02,2,26.3935,956.056,6.5,3,4.5,17.8876,26.3935,1548.0855,1020.2844,265.0951,8279.2416,3.8328,2160.117,49.436,527.8011,-38.2427,1.6192,0,246.88,15.72,3.1115,0.4115,79.9464,5.3796,93.3114,20.3823,117.1205,196.84,1.5173,2.9331,5.8397,36.3636,12,12,4,6,6,8,42.5724,0.3333,0.5,0.6667,50,5,5,W,0.2721,14.3089,14.3089,0.6867,1.3969,3.918,3.3345,2.4282,1.2526,3.1898,3.0087,1.4215,1.1965,1.7881,1.8304,1.5236,1.924,3.4801,2.9805,0.493,-3,1.0212,2.3925,1.6991,-0.2924,0.1839,2.4234,2.3943,0.0086,2.4624,-0.4643,-2,-0.157,0.7671,0.7789,1.6292,0.6031,0.5835,-0.3856,2.7225,2.0686,0.4688,1.5608,0.9036,0.2093,1.1559,1107.6224,3.0444,0
592,10.25,1537,100,16.56,12.5,274.07,32,6,14.2217,1672.303,10.5,4,4.5,14.3516,14.2217,698.7336,698.7336,963.5901,36049.2977,31.2852,1152.2781,85.2347,0,139.3334,0.4178,0,242.07,4.06,1.9667,11.6758,93.4048,1.2716,72.333,8.9415,51.9042,373.93,1,698.7336,0.7251,1.9239,32,12,0,0,12,12,363.1844,0.001,0,1,0,8,3,W,0.7101,0.0132,0.0132,1.019,1.0111,4.5569,3.0616,3.1867,1.1569,2.8443,2.8443,1.153,0.6085,1.6922,1.7959,1.2191,1.9886,3.4784,3.2233,0.2937,-3,1.0212,2.3839,-2,-2,0.0043,2.9839,2.4379,1.5051,2,-1.9586,-2,0.0124,-0.1337,1.0795,2.5601,-2,1.4953,1.0673,-2,1.7152,2.8443,0.2864,1.0795,-0.379,-1.6345,136.1037,2.1339,0
593,18.33,19,8,30.67,22.22,218.95,4.06,5,27.1481,985.774,9.5,4,4.5,20.054,27.1481,1646.4298,985.774,93.1907,6410.7229,3.1422,2040.1891,53.1149,660.6558,-40.1266,1.6702,0,214.89,8.45,2.6653,1.8543,88.8331,2.937,78.7657,10.8184,95.8829,196.84,1.6702,2.4921,17.6673,83.3906,8,12,4,10,2,5,19.7436,0.3333,0.8333,0.4167,83.3333,3,6,D,1.8178,15.1717,15.1717,0.6867,1.2634,3.8069,3.3097,1.279,1.3022,3.2165,2.9938,1.4337,0.9269,1.7934,1.8587,1.4867,1.9677,3.4787,2.9938,0.4257,-3,1.0212,2.3322,1.9209,-0.074,0.2254,1.9694,2.3403,0.6085,0.9036,-0.4643,-2,-0.157,1.2474,0.3032,1.2956,0.6031,0.4972,0.2682,2.82,1.9817,0.3983,1.9212,0.6998,0.2228,1.1813,1366.2835,3.1355,0
594,22.33,1761,562,34.14,18.81,466.01,5.1,2,25.6167,1424.451,6.5,3,4.5,18.2778,25.6167,1453.0306,924.3853,612.9611,12502.6945,6.8185,1833.6483,48.2955,528.6453,-1.9669,1.0201,0,460.91,15.33,3.9258,1.0944,80.6293,4.9772,164.261,19.4295,138.3783,161.2,1.5719,2.7486,2.3705,29.8352,12,12,4,6,6,7,48.7019,0.3333,0.5,0.5833,50,5,6,W,0.2804,15.4428,15.4428,0.6867,1.3491,4.097,3.2633,3.2458,1.2619,3.1623,2.9659,1.4085,1.1855,1.7826,1.8377,1.5333,1.9275,3.4799,3.1536,0.5939,-3,1.0212,2.6636,1.6991,-0.2924,0.1992,2.7874,2.6684,0.7076,2.7497,-0.4643,-2,-0.157,0.3767,0.7789,1.6876,0.6031,0.8337,0.0392,2.7232,2.1411,0.4407,1.4749,0.8457,0.0086,1.189,881.8277,2.9454,0
595,29.7,816,960,33.11,13.61,230.12,7.11,2,24.3148,760.984,6.5,3,4.5,16.7232,24.3148,1383.03,816.3429,187.9259,5967.035,3.9999,1491.7929,49.2372,566.6871,-44.977,1.8174,0,223.01,19.5,3.6288,3.0897,75.0352,6.7321,71.6467,27.6874,112.9801,196.84,1.6942,2.4406,7.3594,28.8275,10,12,3,8,4,8,47.9761,0.25,0.6667,0.6667,66.6667,3,5,D,0.3027,12.2629,12.2629,0.77,1.4729,3.7758,3.1737,2.9117,1.2233,3.1408,2.9119,1.3859,1.29,1.7732,1.8035,1.52,1.8978,3.4811,2.8814,0.5598,-3,1.0212,2.3483,1.824,-0.1696,0.2315,2.274,2.362,0.8519,2.9823,-0.585,-2,-0.1079,0.8674,0.6031,1.6811,0.4786,0.602,0.4899,2.7534,2.053,0.3893,1.46,0.9036,0.2595,1.0889,1245.7351,3.0954,0
596,26.68,1899,430,25.03,13.53,419.1,5.61,-1,20.6183,2026.053,3.5,2,4.5,16.1661,20.6183,1034.2573,1019.1035,1043.7586,43546.2477,20.198,2155.9683,63.6802,15.1538,95.8945,0.5105,0,413.49,11.5,2.4823,1.3386,83.5785,4.2432,148.7773,20.58,88.1185,196.84,1.0149,68.2507,0.9909,7.0549,25,12,0,1,11,12,146.6005,0.001,0.0833,1,8.3333,7,4,W,0.0306,0.0192,0.0192,1.019,1.4263,4.639,3.3336,3.2785,1.2086,3.0146,3.0082,1.3143,1.0607,1.7452,1.803,1.3985,1.9424,3.4801,3.3067,0.3949,-3,1.0212,2.6165,0.9213,-1.0301,0.0107,3.0186,2.6223,0.749,2.6335,-1.9586,-2,0.0124,0.0004,1.0418,2.1662,-2,1.3053,0.1267,1.1808,1.9451,1.8342,0.8491,1.0795,-0.292,-1.5346,386.6587,2.5873,0
597,27.23,514,850,34.78,15.22,246.89,2.03,2,25.7546,761.746,6.5,3,4.5,17.1935,25.7546,1478.925,866.0864,276.0982,4524.2138,2.7491,1645.7036,47.161,612.8387,-48.4933,1.9415,0,244.86,19.56,3.8893,0.8222,75.4826,6.7782,85.5553,26.3184,134.7777,196.84,1.7076,2.4132,5.3565,42.9199,6,12,5,8,4,4,34.4578,0.4167,0.6667,0.3333,66.6667,3,5,D,0.337,23.145,23.145,0.6033,1.4352,3.6555,3.2164,2.711,1.2354,3.1699,2.9376,1.4109,1.2914,1.7836,1.8144,1.5413,1.9003,3.4809,2.8818,0.5899,-3,1.0212,2.3889,1.824,-0.1696,0.2349,2.4411,2.3925,0.3075,2.9294,-0.3699,-2,-0.2123,0.7297,0.6031,1.5374,0.6998,0.4392,-0.085,2.7874,2.1296,0.3844,1.6328,0.6031,0.2881,1.3646,1307.2619,3.1164,0
598,29.02,728,930,33.44,14.28,246.89,2.03,1,24.7407,837.692,5.5,2,4.5,16.9039,24.7407,1414.0603,835.7543,156.2175,6861.1193,4.4233,1551.1383,48.9206,578.306,-40.7598,1.688,0,244.86,19.16,3.5367,0.8222,75.5737,6.7054,88.7794,27.1028,127.1772,178.5446,1.692,2.4452,9.0519,54.5836,11,12,5,7,5,9,25.9063,0.4167,0.5833,0.75,58.3333,3,5,D,0.0722,19.3996,19.3996,0.6033,1.4628,3.8364,3.1907,2.8621,1.228,3.1505,2.9221,1.3934,1.2824,1.7763,1.8081,1.5243,1.9008,3.481,2.9231,0.5486,-3,1.0212,2.3889,1.766,-0.2267,0.231,2.1938,2.3925,0.3075,2.9685,-0.3699,-2,-0.2123,0.9572,0.6998,1.4136,0.6998,0.6457,-0.085,2.7622,2.1044,0.3901,1.7371,0.9547,0.2274,1.288,1625.2218,3.2109,0
599,16.82,1817,146,30.06,22.17,116.08,0,2,25.5417,639.064,6.5,3,4.5,20.0979,25.5417,1441.9564,680.4315,0,3403.1847,3.0865,1102.6105,54.1556,761.5249,-55.6808,2.2564,0,116.08,7.89,2.1797,0,89.4884,2.557,45.7037,10.0111,85.82,233.5282,2.1192,1.8935,1441.9564,836.5957,6,12,6,12,0,1,1.7236,0.5,1,0.0833,100,3,6,D,0.2884,23.2185,23.2185,0.52,1.2261,3.5319,3.0424,3.2594,1.3032,3.159,2.8328,1.4072,0.8971,1.7821,1.8584,1.478,1.9708,3.4786,2.8055,0.3384,-3,1.0212,2.0648,2,0.0043,0.3282,-2,2.0648,-2,2.1644,-0.2924,-2,-0.2757,3.159,-2,0.2389,0.7789,0.4895,-2,2.8817,1.9336,0.2796,2.9225,0.0043,0.3534,1.366,3838.0888,3.5841,0
600,24.47,1626,300,33.06,17.11,296.93,1.02,2,25.0509,895.858,6.5,3,4.5,17.703,25.0509,1417.8141,829.9489,345.2273,6171.4898,4.025,1533.2933,49.919,587.8652,-36.8141,1.5826,0,295.91,15.95,3.9774,0.3435,79.567,5.0998,110.2576,20.3578,147.6899,196.84,1.7083,2.4118,4.1069,24.5949,8,12,4,6,6,6,57.6466,0.3333,0.5,0.5,50,3,5,D,0.3348,18.5075,18.5075,0.6867,1.3888,3.7904,3.1856,3.2111,1.248,3.1516,2.9191,1.3988,1.2028,1.7785,1.8268,1.5193,1.922,3.4801,2.9522,0.5996,-3,1.0212,2.4712,1.6991,-0.2924,0.2351,2.5381,2.4727,0.0086,2.4771,-0.4643,-2,-0.157,0.6146,0.7789,1.7608,0.6031,0.6048,-0.4641,2.7693,2.1694,0.3841,1.391,0.7789,0.1994,1.2676,1130.8565,3.0534,0
601,9.75,2637,85,24.22,19.03,201.34,23.03,5,21.6042,1124.599,9.5,4,4.5,18.6247,21.6042,1033.4256,1015.7458,375.9823,17804.3515,8.3035,2144.1895,67.0691,17.6799,8.8224,0.9189,0,178.31,5.19,2.1484,11.4384,92.5022,1.7358,57.9878,8.0345,61.8757,196.84,1.0174,58.452,2.7486,13.4986,19,12,0,2,10,11,76.5582,0.001,0.1667,0.9167,16.6667,7,6,W,1.1451,0.0296,0.0296,1.019,0.9894,4.2505,3.3313,3.4211,1.2701,3.0143,3.0068,1.3345,0.7152,1.7528,1.839,1.3842,1.9845,3.4783,3.051,0.3321,-3,1.0212,2.2512,1.2221,-0.7528,0.0117,2.5752,2.3039,1.3623,1.9295,-1.9586,-2,0.0124,0.4407,1.0004,1.884,-2,0.9193,1.0584,1.2477,1.7915,1.7669,1.1306,1.0418,-0.0367,-1.4023,1372.3732,3.1375,0
602,19.13,1387,403,34.22,21.11,214.88,7.87,4,26.7917,853.44,8.5,3,4.5,19.1789,26.7917,1570.2063,818.9679,196.2956,5298.6526,3.533,1499.7643,47.9065,751.2384,-45.6479,1.8399,0,207.01,13.11,3.0214,3.6625,83.4511,4.0566,80.4236,15.1414,113.0815,161.2,1.9173,2.0902,7.9992,84.4369,8,12,6,8,4,4,18.5962,0.5,0.6667,0.3333,66.6667,3,6,D,1.2899,25.3617,25.3617,0.52,1.2819,3.7242,3.176,3.1421,1.2828,3.196,2.9133,1.428,1.1176,1.7909,1.8519,1.5343,1.9418,3.4793,2.9312,0.4802,-3,1.0212,2.316,1.824,-0.1696,0.2849,2.2929,2.3322,0.896,2.6053,-0.2924,-2,-0.2757,0.9036,0.6031,1.2697,0.7789,0.5481,0.5638,2.8758,2.0534,0.3223,1.9266,0.6031,0.2648,1.4043,1254.9963,3.0986,0
603,25.62,173,498,32.44,17.28,307.09,2.03,3,26.1898,1110.234,7.5,3,4.5,17.7506,26.1898,1536.4888,1026.2552,395.4946,10154.3726,4.6555,2181.1419,50.8978,510.2336,-27.7421,1.3839,0,305.06,15.16,3.3192,0.661,80.4236,5.3917,115.3835,20.5872,124.7126,196.84,1.4972,3.0113,3.885,32.4186,13,12,4,6,6,6,47.3953,0.3333,0.5,0.5,50,5,5,W,0.5912,13.9485,13.9485,0.6867,1.4087,4.0067,3.3387,2.2381,1.2492,3.1865,3.0113,1.4181,1.1807,1.7867,1.8279,1.5111,1.9265,3.4801,3.0454,0.521,-3,1.0212,2.4844,1.6991,-0.2924,0.1782,2.5972,2.4873,0.3075,2.6972,-0.4643,-2,-0.157,0.5905,0.7789,1.6758,0.6031,0.668,-0.1798,2.7078,2.0959,0.4802,1.5109,0.7789,0.1411,1.1448,869.2035,2.9391,0
604,27.13,767,475,34.39,14.67,92.96,1.02,2,26.9861,241.046,6.5,3,4.5,17.0381,26.9861,1603.9538,273.388,17.8467,329.9436,1.3595,242.6911,47.6198,1330.5658,-84.9718,6.6541,0,91.94,19.72,4.6278,1.0972,75.1606,6.5005,30.4978,24.0882,151.8272,68.95,5.867,1.2055,89.874,767.0016,1,12,10,11,1,1,2.0912,0.8333,0.9167,0.0833,91.6667,1,5,D,0.6635,96.1407,55.1054,0.1867,1.4336,2.5184,2.3851,2.8848,1.2314,3.2052,2.4368,1.4311,1.2949,1.7923,1.8107,1.5364,1.8985,3.4806,2.3821,0.6654,-3,1.0212,1.9635,1.9623,-0.0331,0.7692,1.2518,1.9683,0.0086,2.6767,-0.074,-2,-0.7062,1.9537,0.0043,0.3225,1.0004,0.1334,0.0403,3.124,2.1813,0.0848,2.8848,0.0043,0.8231,1.7413,144.9814,2.1613,0
605,22.3,452,100,32.61,19.39,293.12,0,2,26.7176,673.354,6.5,3,4.5,18.5236,26.7176,1586.9839,576.445,75.0226,3011.7507,3.5972,837.2556,50.5802,1010.5389,-57.5702,2.3568,0,293.12,13.22,5.2238,0,82.9661,4.2289,89.319,15.8282,159.1774,68.95,2.7531,1.5704,21.1534,404.6364,6,12,8,10,2,1,3.922,0.6667,0.8333,0.0833,83.3333,2,6,D,0.5063,61.4023,61.4023,0.3533,1.3485,3.4788,2.9229,2.6551,1.2677,3.2006,2.7608,1.4268,1.1212,1.7904,1.8413,1.5134,1.9393,3.4794,2.8282,0.718,-3,1.0212,2.467,1.9209,-0.074,0.4414,1.8752,2.467,-2,2,-0.1696,-2,-0.4397,1.3256,0.3032,0.5946,0.9036,0.556,-2,3.0046,2.2019,0.1988,2.6071,0.0043,0.3723,1.7883,364.3288,2.5615,0
606,16.55,347,165,35.06,23.33,146.05,0,4,28.9537,718.058,8.5,3,4.5,20.1634,28.9537,1802.9739,718.058,0,2879.6917,2.3885,1205.6599,46.1957,1084.9159,-60.1737,2.5109,0,146.05,11.73,2.4407,0,85.3485,3.5924,53.8562,12.4073,90.0031,196.84,2.5109,1.6619,1802.9739,1802.9739,5,12,6,12,0,0,0,0.5,1,0,100,2,6,D,1.2543,24.6871,24.6871,0.52,1.2191,3.4593,3.0812,2.5403,1.3046,3.256,2.8562,1.4617,1.0693,1.8059,1.8653,1.5448,1.9511,3.4789,2.8562,0.3875,-3,1.0212,2.1645,2,0.0043,0.4016,-2,2.1645,-2,2.2175,-0.2924,-2,-0.2757,3.256,-2,-2,0.7789,0.3781,-2,3.0354,1.9543,0.2232,3.256,-2,0.3998,1.3926,669.9177,2.826,0
607,13.93,1872,106,28.94,21.67,223.01,2.03,3,24.912,821.944,7.5,3,4.5,19.92,24.912,1363.6512,905.5471,180.0755,6506.1842,3.6716,1772.0352,56.2985,458.1042,-39.7248,1.6591,0,220.98,7.27,3.2558,0.9103,90.1677,2.2011,65.6187,8.8354,95.8003,313.7194,1.5059,2.9767,7.5727,15.4523,9,12,2,7,5,7,88.2492,0.1667,0.5833,0.5833,58.3333,4,6,D,0.8515,10.0159,10.0159,0.8533,1.1443,3.8133,3.2485,3.2723,1.2993,3.1347,2.9569,1.3964,0.8615,1.7775,1.8553,1.4615,1.9739,3.4784,2.9148,0.5127,-3,1.0212,2.3444,1.766,-0.2267,0.1807,2.2555,2.3483,0.3075,2.0253,-0.7528,-2,-0.0638,0.8798,0.6998,1.9458,0.3032,0.5649,-0.0408,2.661,1.9814,0.4752,1.1893,0.8457,0.2199,1.0011,2948.7337,3.4696,0
608,34.08,5202,1240,24.61,1.06,103.89,18.03,-4,13.3657,664.718,0.5,1,0.5,13.7042,13.3657,763.7416,466.6222,291.7335,10589.656,17.9638,589.4983,51.0274,297.1194,-12.9656,1.149,0,85.86,23.55,1.8755,17.3549,66.1687,8.4219,25.1812,63.0108,45.459,143.03,1.6367,2.5705,2.6179,15.324,20,8,1,5,3,3,49.8397,0.125,0.625,0.375,62.5,3,3,D,0.4244,2.277,2.277,0.5967,1.5326,4.0249,2.7705,3.7162,1.1369,2.8829,2.669,1.126,1.372,1.6845,1.7081,1.3911,1.8461,3.4861,2.8226,0.2731,-3,0.8129,1.9338,1.7959,-0.1972,0.2166,2.465,2.0166,1.256,3.0934,-0.8697,-2,-0.217,0.4196,0.4786,1.6977,0.0043,1.2544,1.2394,2.4729,1.6576,0.4117,1.1857,0.4786,0.0603,0.3593,1071.1899,3.0299,0
609,24.58,1908,208,31.78,16,207.01,3.05,3,24.2963,661.416,7.5,3,4.5,17.3271,24.2963,1363.5244,775.3581,211.9967,4001.9836,2.9221,1369.5373,51.8297,588.1663,-51.4922,2.0615,0,203.96,15.78,3.7558,1.4734,79.4478,5.1949,78.4279,21.3813,142.2909,196.84,1.7586,2.3183,6.4318,43.3887,6,12,4,7,5,5,31.4258,0.3333,0.5833,0.4167,58.3333,3,5,D,0.8051,19.4846,19.4846,0.6867,1.3908,3.6023,3.1366,3.2806,1.2387,3.1347,2.8895,1.3855,1.1981,1.773,1.8195,1.5022,1.9214,3.4802,2.8205,0.5747,-3,1.0212,2.3095,1.766,-0.2267,0.2476,2.3263,2.316,0.4843,2.3181,-0.4643,-2,-0.157,0.809,0.6998,1.4974,0.6031,0.4657,0.1683,2.7695,2.1532,0.367,1.6375,0.6998,0.3142,1.2899,1756.1082,3.2446,0
610,38.73,486,297,25.56,1.06,115.82,71.88,-4,13.537,1114.044,0.5,1,0.5,13.8291,13.537,801.8796,649.6783,515.1512,22569.893,22.1029,1021.1259,50.0357,152.2013,38.9291,0.7198,0,43.94,24.5,1.2476,62.0618,65.2778,9.3105,14.3511,68.7782,15.4583,108.75,1.2343,5.2685,1.5566,12.7973,26,7,0,3,4,3,62.6599,0.001,0.4286,0.4286,42.8571,6,3,W,0.1174,0.0095,0.0095,0.5944,1.5882,4.3535,3.0091,2.6866,1.1408,2.9041,2.8127,1.1315,1.3892,1.6861,1.7081,1.4076,1.8406,3.487,3.0469,0.0961,-3,0.8129,1.6429,1.6321,-0.3579,0.0949,2.7119,2.0638,1.8566,2.4728,-1.9586,-2,-0.2187,0.195,0.6031,1.7971,-2,1.3444,1.7928,2.1824,1.1892,0.7225,1.1075,0.4786,-0.1428,-1.71,415.3995,2.6185,0
611,7.75,131,17,27.11,25.5,204.98,2.03,3,26.1713,886.206,7.5,3,4.5,24.2428,26.1713,1578.4525,810.874,214.1199,6156.1447,4.173,1475.2397,57.4441,767.5785,-43.856,1.7811,0,202.95,1.61,2.7756,0.9903,97.7673,0.5305,70.5623,2.0269,95.5475,161.2,1.9466,2.0564,7.3718,55.1311,10,12,6,8,4,4,28.6309,0.5,0.6667,0.3333,66.6667,3,7,D,1.0503,36.5312,36.5312,0.52,0.8899,3.7893,3.1689,2.1173,1.3846,3.1982,2.909,1.4178,0.2068,1.7865,1.8779,1.4331,2.0076,3.4774,2.9475,0.4434,-3,1.0212,2.3074,1.824,-0.1696,0.2915,2.3307,2.3117,0.3075,1.2307,-0.2924,-2,-0.2757,0.8682,0.6031,1.457,0.7789,0.6204,-0.0042,2.8851,1.9802,0.3152,1.7415,0.6031,0.2507,1.5628,1253.5788,3.0982,0
612,8.12,1214,2,23.28,22,390.91,35.05,2,22.8565,2518.156,6.5,3,4.5,21.4491,22.8565,1122.5647,1083.0811,1251.235,45722.4491,19.1687,2385.2682,68.0514,39.4836,124.3217,0.4458,0,355.86,1.28,1.8628,8.9663,98.1254,0.4479,137.1461,1.9595,65.3555,161.2,1.0365,28.4312,0.8972,10.1269,28,12,0,1,11,11,110.8498,0.001,0.0833,0.9167,8.3333,7,6,W,0.1321,0.0228,0.0228,1.019,0.9101,4.6601,3.3775,3.0842,1.3314,3.0502,3.0347,1.359,0.1072,1.7624,1.8573,1.367,2.0091,3.4774,3.4011,0.2702,-3,1.0212,2.5513,0.9213,-1.0301,0.0197,3.0973,2.5921,1.5447,0.3032,-1.9586,-2,0.0124,-0.0423,1.0418,2.0448,-2,1.2826,0.9526,1.5965,1.8153,1.4539,1.0059,1.0418,-0.3509,-1.4841,419.3439,2.6226,0
613,3.04,481,170,26.89,25.5,378.42,141.99,7,26.31,3138.13,11.5,4,4.5,24.3898,26.31,1609.5203,1609.5203,1354.0897,56157.1218,12.198,4603.7965,57.8298,0,94.973,0.5129,0,236.43,1.39,1.4471,37.5218,98.0665,0.3964,86.1682,1.5068,32.9501,174.52,1,1609.5203,1.1886,9.2226,32,12,0,0,12,12,174.52,0.001,0,1,0,8,7,W,1.1135,0.0205,0.0205,1.019,0.4843,4.7494,3.6631,2.6822,1.3872,3.2067,3.2067,1.4201,0.143,1.7875,1.8779,1.4296,2.0089,3.4773,3.4967,0.1605,-3,1.0212,2.3737,-2,-2,0.0043,3.1317,2.578,2.1523,2.2305,-1.9586,-2,0.0124,0.0787,1.0795,2.2419,-2,1.0863,1.5743,-2,1.5179,3.2067,0.9653,1.0795,-0.29,-1.5157,88.7625,1.9482,0
